"Gateways","Платежни канали"
"Iframe Payment","Плащане в iFrame"
"Google Pay merchant ID","ID на търговец в Google Pay"
"Autopay acceptor ID","ID на приемащия в Autopay"
"Service partner ID","ID на партньорската услуга"
"Configuration key (hash)","Конфигурационен ключ (хеш)"
"PLN configuration","Конфигурация за PLN"
"EUR configuration","Конфигурация за EUR"
"GBP configuration","Конфигурация за GBP"
"USD configuration","Конфигурация за USD"
"CZK configuration","Конфигурация за CZK"
"RON configuration","Конфигурация за RON"
"HUF configuration","Конфигурация за HUF"
"BGN configuration","Конфигурация за BGN"
"UAH configuration","Конфигурация за UAH"
"ID","ID"
"Currency","Валута"
"Description","Описание"
"Type","Тип"
"Logo URL","URL на логото"
"Logo Path","Път до логото"
"Direct Payment","Директно плащане"
"Used only for Google Pay.","Използва се само за Google Pay."
"Orders with this statuses won't have an automatic status change.","Поръчки с тези статуси няма да имат автоматична промяна на статуса."
"Payment without redirecting to Autopay gateway","Плащане без пренасочване към шлюза на Autopay."
"Payment without redirecting to Autopay gateway. In order to activate, <a href=""https://developers.google.com/pay/api/web/guides/test-and-deploy/integration-checklist#request-production-access"" target=""_blank"">contact Google for <i>merchant ID</i></a> and fill field below and acceptor ID for specific currencies.","Плащане без пренасочване към шлюза на Autopay. За да активирате, <a href=""https://developers.google.com/pay/api/web/guides/test-and-deploy/integration-checklist#request-production-access"" target=""_blank"">поискайте от Google <i>ID на търговец</i></a> и попълнете полето по-долу, както и ID на приемащия в Autopay за съответните валути."
"Stored payment cards","Запазени платежни карти"
"Are you sure you want to delete this card: ","Сигурни ли сте, че искате да изтриете тази карта: "
"Payment card was successfully removed.","Платежната карта беше успешно премахната."
"Wrong request.","Неправилна заявка."
"Wrong card index.","Неправилен индекс на картата."
"Deletion failure. Please try again.","Грешка при изтриването. Моля, опитайте отново."
"You have no stored payment cards.","Нямате запазени платежни карти."
"Autopay Agreement","Споразумение за Autopay"
"Show all","Покажи всички"
"Collapse","Свий"
"Collapsible gateway list","Сгъваем списък с канали"
"Payment Channel","Платежен канал"
"Show waiting page before redirect","Показване на страница за изчакване преди пренасочване"
"Seconds to wait before redirect","Секунди за изчакване преди пренасочване"
"How many second wait on intermediate page, before redirect to Autopay payment.","Колко секунди да се изчака на междинната страница, преди пренасочване към плащане с Autopay."
"Show manual Autopay refund in order details","Показване на ръчно възстановяване от Autopay в детайлите на поръчката"
"Show payment gateways in store","Показване на платежни канали в магазина"
"Yes (whitelabel)","Да (whitelabel)"
"No (redirect to paywall)","Не (пренасочване към paywall)"
"You have to select payment card.","Трябва да изберете платежна карта."
"You have to agree.","Трябва да се съгласите."
"Add new card","Добавяне на нова карта"
"Request timed out. Please try again or use a different payment method.","Времето за заявката изтече. Моля, опитайте отново или използвайте друг метод на плащане."
"The BLIK code has expired. Try again.","BLIK кодът е изтекъл. Опитайте отново."
"Invalid BLIK code.","Невалиден BLIK код."
"Waiting for the confirmation of the transaction.","В очакване на потвърждение на трансакцията."
"Confirm BLIK transaction","Потвърдете BLIK трансакцията"
"Confirm the payment in your bank's app.","Потвърдете плащането в приложението на вашата банка."
"-- Do not change status --","-- Не променяй статуса --"
"Link to continue payment","Връзка за продължаване на плащането"
"Click here to continue payment","Натиснете тук, за да продължите с плащането"
"Quick payment","Бързо плащане"
"Internet transfer","Интернет превод"
"Internet transfer, BLIK, payment card, Google Pay, Apple Pay","Интернет превод, BLIK, платежна карта, Google Pay, Apple Pay"
"Anonymize IP","Анонимизиране на IP"
"To create a new secret, navigate in the Google Analytics UI - Admin > Data Streams > choose your stream > Measurement Protocol > Create","За да създадете нов таен ключ, отидете в Google Analytics - Администриране > Потоци от данни > изберете своя поток > Тайни ключове на API за Measurement Protocol > Създаване"
"Minimum payment amount","Минимална сума за плащане"
"Maximum payment amount","Максимална сума за плащане"
"Pay later","Плати по-късно"
"Buy now and pay within 30 days. %1","Купи сега и плати до 30 дни. %1"
"Learn more","Научете повече"
"At the top of the page","В горната част на страницата"
"Under the navigation","Под навигацията"
"On the product list","В списъка с продукти"
"On the product page under the buttons","На продуктовата страница под бутоните"
"In the shopping cart under the products","В количката под продуктите"
"Why promote?","Защо да промотирате?"
"More sales","Повече продажби"
"Fewer abandoned shopping carts","По-малко изоставени колички"
"More customers","Повече клиенти"
"Customers are more likely to decide to buy products, even at a higher price, if they can pay later or spread the repayment in installments.","Клиентите са по-склонни да решат да закупят продукти, дори и на по-висока цена, ако могат да платят по-късно или да разсрочат плащането на вноски."
"PAY LATER","ПЛАТИ ПО-КЪСНО"
"Buy now and pay within 30 days","Купи сега и плати до 30 дни"
"INSTALLMENTS","НА ИЗПЛАЩАНЕ"
"Up to 48 installments","До 48 вноски"
"TAILORED INSTALLMENTS","ИНДИВИДУАЛНИ ВНОСКИ"
"Buy on tailored installments","Купи на индивидуални вноски"
"Autopay Online Payment","Онлайн плащане Autopay"
"How to get started?","Как да започнете?"
"Create a free account on the site.","Създайте безплатен акаунт в сайта."
"Register","Регистрирайте се"
"Enter your company details and confirm them with a verification transfer.","Въведете данните на вашата фирма и ги потвърдете с верификационен превод."
"Set up payments in your store.","Конфигурирайте плащанията във вашия магазин."
"about implementing payments in your store.","относно внедряването на плащания във вашия магазин."
"Fee only 1,19% + 0,25 zł.","Такса само 1,19% + 0,25 PLN."
"Prepare store regulations 10% off.","Подгответе правилата на магазина с 10% отстъпка."
"Display the channel as a separate payment method. Payment card, Google Pay, Apple Pay, BLIK and installments channels must always be separated.","Покажете канала като отделен метод на плащане. Каналите за плащане с карта, Google Pay, Apple Pay, BLIK и на изплащане винаги трябва да бъдат отделени."
"Installments and payment card channels have a static channel name.","Каналите за плащане с карта и на изплащане имат статично име на канала."
"You will be redirected to the page of the selected bank.","Ще бъдете пренасочени към страницата на избраната банка."
"Disable payment continuation link when transaction expires","Деактивиране на връзката за продължаване на плащането при изтичане на трансакцията"
"Link available in order confirmation e-mail and in order detail in customer account will be expired after reaching Transaction Life Hours set above.","Връзката, налична в имейла за потвърждение на поръчката и в детайлите на поръчката в клиентския акаунт, ще изтече след достигане на зададеното по-горе време за валидност на плащането."
"Invalid hash for order","Невалиден хеш за поръчката"
"Transaction is expired. Place order again.","Трансакцията е изтекла. Направете нова поръчка."
"An error occurred while generating the transaction.","Възникна грешка при генерирането на трансакцията."
"It allows you to check the module without paying for the order (no order payments are charged in test mode).","Позволява ви да проверите работата на модула, без да е необходимо да плащате за поръчката (в тестов режим не се начисляват такси за поръчката)."
"Partner's website ID and Shared key are different for production and testing environment.","Идентификаторът на уебсайта на партньора и споделеният ключ са различни за тестова и продукционна среда."
"To get the data for the test environment,","За да получите данните за тестовата среда,"
"contact us","свържете се с нас"
"Spingo","Spingo"
"Deferred payment for businesses","Отложено плащане за фирми"
"Enter BLIK code","Въведете BLIK код"
"If your computer doesn't come preloaded with a TouchID reader, you'll authorize payments with your iPhone or Apple Watch, as long as they're logged into the same AppleID account as your computer.","Ако компютърът ви не е с предварително инсталиран четец TouchID, ще оторизирате плащанията с вашия iPhone или Apple Watch, стига те да са влезли в същия акаунт на AppleID като компютъра."
"More information about payment","Повече информация за плащането"
"Apple Pay in the browser.","Apple Pay в браузъра."
"Activation","Активиране"
"You choose the BLIK Płacę Później option, enter your BLIK code and we offer you up to a 4 000 zł limit on your purchases.","Избирате опцията BLIK Плати по-късно, въвеждате своя BLIK код, а ние ви предлагаме лимит до 4 000 PLN за вашите покупки."
"Purchases","Покупки"
"You buy products that you do not pay for at the time of purchase. You have time to check that everything suits you.","Купувате продукти, за които не плащате в момента на покупката. Имате време да проверите дали всичко ви устройва."
"After each purchase","След всяка покупка"
"You pay within 30 days at no extra cost. You can also return your purchase within the period provided by the shop.","Плащате в рамките на 30 дни без допълнителни разходи. Можете също така да върнете покупката си в срока, предвиден от магазина."
"Representative example","Представителен пример"
"Expand","Разгъни"
"Start transaction with phone number","Започване на трансакция с телефонен номер"
"Requires configuration on the Autopay side. ENABLE ONLY AT THE REQUEST OF THE SUPPORT TEAM.","Изисква конфигурация от страна на Autopay. АКТИВИРАЙТЕ САМО ПО ИСКАНЕ НА ЕКИПА ЗА ПОДДРЪЖКА."
"Asynchronous process ITN","Асинхронна обработка на ITN"
"This setting enables asynchronous processing of ITN notifications sent by the Autopay system after a transaction is completed. Enabling this option means that ITN notifications will be processed in the background, which can be useful in scenarios with higher loads or specific requirements related to handling notifications.<br><br><strong>Note:</strong> This option should only be selected by individuals who fully understand how asynchronous ITN processing works and the potential implications for the store’s operation. Incorrect configuration of this setting may lead to issues with transaction handling.<br>More information in <a href=""https://developers.autopay.pl/online/wtyczki/magento-2"" target=""_blank"">module documentation</a>.","Тази опция позволява асинхронна обработка на ITN известия, изпращани от системата Autopay след приключване на трансакция. Активирането на тази опция означава, че ITN известията ще се обработват във фонов режим, което може да бъде полезно при сценарии с по-голямо натоварване или специфични изисквания, свързани с обработката на известия.<br><br><strong>Забележка:</strong> Тази опция трябва да се избира само от лица, които напълно разбират как работи асинхронната обработка на ITN и какви могат да бъдат последствията за работата на магазина. Неправилната конфигурация на тази опция може да доведе до проблеми с обработката на трансакции.<br>Повече информация в <a href=""https://developers.autopay.pl/online/wtyczki/magento-2"" target=""_blank"">документацията на модула</a>."
"Refund requested. Message ID: ""%1""","Заявено възстановяване. ID на съобщението: ""%1"""
"Order not found","Поръчката не е намерена"
"Refund error","Грешка при възстановяване"
"Error code: %1 (%2)","Код на грешка: %1 (%2)"
"Refund failed. Try again or contact Autopay technical support. (Order: %1, Message ID: %2)","Възстановяването на средствата е неуспешно. Опитайте отново или се свържете с техническата поддръжка на Autopay. (Поръчка: %1, ID на съобщението: %2)"
"Gateway Short Description","Кратко описание"
"Use Base Currency for Transactions","Използвай базовата валута за трансакции"
"Choose whether to use order currency or base currency for transactions.","Изберете дали да използвате валутата на поръчката или базовата валута за трансакции."
"Widget Payment","Widget Payment"
"Payment without redirecting to Autopay gateway (Widget).","Payment without redirecting to Autopay gateway (Widget)."
"I confirm that I completed the required form and contacted Autopay business support","I confirm that I completed the required form and contacted Autopay business support"
"Each merchant who wants to enable Autopay Widget must complete required documentation with a business account manager.","Each merchant who wants to enable Autopay Widget must complete required documentation with a business account manager."
"Only after this formal process should Widget Payment be enabled.","Only after this formal process should Widget Payment be enabled."
"After selecting ""Yes"", the Widget Payment option becomes available.","After selecting ""Yes"", the Widget Payment option becomes available."
