"Gateways","Πύλες πληρωμών"
"Choose the way you want to pay.","Επιλέξτε τον τρόπο πληρωμής."
"Place Order","Υποβολή παραγγελίας"
"%gateways","%gateways"
"%source","%source"
"Refund type is not selected.","Δεν έχει επιλεγεί ο τύπος επιστροφής."
"Invalid refund amount. Example of correct value: 123.23","Μη έγκυρο ποσό επιστροφής. Παράδειγμα σωστής τιμής: 123.23"
"Online payment Autopay","Ηλεκτρονική πληρωμή Autopay"
"Enabled","Ενεργοποιημένο"
"Test Mode","Δοκιμαστική λειτουργία"
"Status waiting payment","Κατάσταση για αναμενόμενη πληρωμή"
"Status accept payment","Κατάσταση για αποδεκτή πληρωμή"
"Status error payment","Κατάσταση για λανθασμένη πληρωμή"
"Status full refund","Κατάσταση για ολική επιστροφή"
"Status partial refund","Κατάσταση για μερική επιστροφή"
"Unchangeable statuses","Αμετάβλητες καταστάσεις"
"Transaction Life Hours","Διάρκεια ισχύος πληρωμής"
"Sort Order","Σειρά ταξινόμησης"
"Title","Τίτλος"
"Enabled disabled gateways notification","Ενεργοποίηση ειδοποιήσεων απενεργοποίησης πυλών"
"Disabled gateways notification Sender Name","Αποστολέας ειδοποιήσεων απενεργοποίησης πυλών"
"Disabled gateways notification Receivers","Παραλήπτες ειδοποιήσεων απενεργοποίησης πυλών"
"Disabled gateways notification Template","Πρότυπο ειδοποιήσεων απενεργοποίησης πυλών"
"Title Automatic Gateway","Όνομα αυτόματης πληρωμής"
"Iframe Payment","Πληρωμή σε iFrame"
"Google Pay merchant ID","Αναγνωριστικό εμπόρου Google Pay"
"Autopay acceptor ID","Αναγνωριστικό αποδέκτη Autopay"
"Service partner ID","Αναγνωριστικό υπηρεσίας"
"Configuration key (hash)","Κλειδί διαμόρφωσης (hash)"
"PLN configuration","Διαμόρφωση PLN"
"EUR configuration","Διαμόρφωση EUR"
"GBP configuration","Διαμόρφωση GBP"
"USD configuration","Διαμόρφωση USD"
"CZK configuration","Διαμόρφωση CZK"
"RON configuration","Διαμόρφωση RON"
"HUF configuration","Διαμόρφωση HUF"
"BGN configuration","Διαμόρφωση BGN"
"UAH configuration","Διαμόρφωση UAH"
"ID","ID"
"Currency","Νόμισμα"
"Description","Περιγραφή"
"Type","Τύπος"
"Logo URL","URL λογότυπου"
"Logo Path","Διαδρομή λογότυπου"
"Direct Payment","Άμεση πληρωμή"
"Used only for Google Pay.","Χρησιμοποιείται μόνο για το Google Pay."
"Orders with this statuses won't have an automatic status change.","Οι παραγγελίες με αυτήν την κατάσταση δεν θα έχουν αυτόματη αλλαγή κατάστασης."
"Payment without redirecting to Autopay gateway","Πληρωμή χωρίς ανακατεύθυνση στην πύλη Autopay"
"Payment without redirecting to Autopay gateway. In order to activate, <a href=""https://developers.google.com/pay/api/web/guides/test-and-deploy/integration-checklist#request-production-access"" target=""_blank"">contact Google for <i>merchant ID</i></a> and fill field below and acceptor ID for specific currencies.","Πληρωμή χωρίς ανακατεύθυνση στην πύλη Autopay. Για να την ενεργοποιήσετε, <a href=""https://developers.google.com/pay/api/web/guides/test-and-deploy/integration-checklist#request-production-access"" target=""_blank"">ζητήστε από την Google ένα <i>αναγνωριστικό εμπόρου</i></a> και συμπληρώστε το παρακάτω πεδίο και το αναγνωριστικό αποδέκτη Autopay για τα αντίστοιχα νομίσματα."
"Stored payment cards","Αποθηκευμένες κάρτες πληρωμής"
"Are you sure you want to delete this card: ","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτήν την κάρτα: "
"Payment card was successfully removed.","Η κάρτα πληρωμής αφαιρέθηκε με επιτυχία."
"Wrong request.","Λανθασμένο αίτημα."
"Wrong card index.","Λανθασμένος δείκτης κάρτας."
"Deletion failure. Please try again.","Αποτυχία διαγραφής. Παρακαλώ δοκιμάστε ξανά."
"You have no stored payment cards.","Δεν έχετε αποθηκευμένες κάρτες."
"Autopay Agreement","Συμφωνία αυτόματων πληρωμών"
"Show all","Εμφάνιση όλων"
"Collapse","Σύμπτυξη"
"Collapsible gateway list","Αναδιπλούμενη λίστα πυλών"
"Payment Channel","Κανάλι πληρωμής"
"Show waiting page before redirect","Εμφάνιση σελίδας αναμονής πριν την ανακατεύθυνση"
"Seconds to wait before redirect","Δευτερόλεπτα αναμονής πριν την ανακατεύθυνση"
"How many second wait on intermediate page, before redirect to Autopay payment.","Πόσα δευτερόλεπτα να περιμένετε στην ενδιάμεση σελίδα, πριν ανακατευθυνθείτε στην πληρωμή Autopay."
"Show manual Autopay refund in order details","Εμφάνιση μη αυτόματης επιστροφής χρημάτων Autopay στις λεπτομέρειες παραγγελίας"
"Show payment gateways in store","Εμφάνιση πυλών πληρωμών στο κατάστημα"
"Yes (whitelabel)","Ναι (whitelabel)"
"No (redirect to paywall)","Όχι (ανακατεύθυνση στο paywall)"
"You have to select payment card.","Πρέπει να επιλέξετε μια κάρτα πληρωμής."
"You have to agree.","Πρέπει να συμφωνήσετε."
"Add new card","Προσθήκη νέας κάρτας"
"Request timed out. Please try again or use a different payment method.","Το χρονικό όριο του αιτήματος έληξε. Παρακαλώ δοκιμάστε ξανά ή χρησιμοποιήστε μια διαφορετική μέθοδο πληρωμής."
"The BLIK code has expired. Try again.","Ο κωδικός BLIK έχει λήξει. Δοκιμάστε ξανά."
"Invalid BLIK code.","Μη έγκυρος κωδικός BLIK."
"Waiting for the confirmation of the transaction.","Αναμονή για την επιβεβαίωση της συναλλαγής."
"Confirm BLIK transaction","Επιβεβαίωση συναλλαγής BLIK"
"Confirm the payment in your bank's app.","Επιβεβαιώστε την πληρωμή στην εφαρμογή της τράπεζάς σας."
"-- Do not change status --","-- Μην αλλάξετε την κατάσταση --"
"Link to continue payment","Σύνδεσμος για τη συνέχιση της πληρωμής"
"Click here to continue payment","Κάντε κλικ εδώ για να συνεχίσετε την πληρωμή"
"Quick payment","Γρήγορη πληρωμή"
"Internet transfer","Τραπεζική μεταφορά"
"Internet transfer, BLIK, payment card, Google Pay, Apple Pay","Τραπεζική μεταφορά, BLIK, κάρτα πληρωμής, Google Pay, Apple Pay"
"Anonymize IP","Ανωνυμοποίηση IP"
"To create a new secret, navigate in the Google Analytics UI - Admin > Data Streams > choose your stream > Measurement Protocol > Create","Για να δημιουργήσετε ένα νέο μυστικό, μεταβείτε στο Google Analytics - Διαχείριση > Ροές δεδομένων > επιλέξτε μια ροή > Μυστικά κλειδιά API του Measurement Protocol > Δημιουργία"
"Minimum payment amount","Ελάχιστο ποσό πληρωμής"
"Maximum payment amount","Μέγιστο ποσό πληρωμής"
"Pay later","Πληρώστε αργότερα"
"Buy now and pay within 30 days. %1","Αγοράστε τώρα και πληρώστε εντός 30 ημερών. %1"
"Learn more","Μάθετε περισσότερα"
"At the top of the page","Στην κορυφή της σελίδας"
"Under the navigation","Κάτω από την πλοήγηση"
"On the product list","Στη λίστα προϊόντων"
"On the product page under the buttons","Στη σελίδα του προϊόντος κάτω από τα κουμπιά"
"In the shopping cart under the products","Στο καλάθι αγορών κάτω από τα προϊόντα"
"Why promote?","Γιατί να προωθήσετε;"
"More sales","Περισσότερες πωλήσεις"
"Fewer abandoned shopping carts","Λιγότερα εγκαταλελειμμένα καλάθια"
"More customers","Περισσότεροι πελάτες"
"Customers are more likely to decide to buy products, even at a higher price, if they can pay later or spread the repayment in installments.","Οι πελάτες είναι πιο πιθανό να αποφασίσουν να αγοράσουν προϊόντα, ακόμη και σε υψηλότερη τιμή, εάν μπορούν να πληρώσουν αργότερα ή να κατανείμουν την αποπληρωμή σε δόσεις."
"PAY LATER","ΠΛΗΡΩΣΤΕ ΑΡΓΟΤΕΡΑ"
"Buy now and pay within 30 days","Αγοράστε τώρα και πληρώστε εντός 30 ημερών"
"INSTALLMENTS","ΔΟΣΕΙΣ"
"Up to 48 installments","Έως 48 δόσεις"
"TAILORED INSTALLMENTS","ΠΡΟΣΑΡΜΟΣΜΕΝΕΣ ΔΟΣΕΙΣ"
"Buy on tailored installments","Αγοράστε με προσαρμοσμένες δόσεις"
"Autopay Online Payment","Ηλεκτρονική πληρωμή Autopay"
"How to get started?","Πώς να ξεκινήσετε;"
"Create a free account on the site.","Δημιουργήστε έναν δωρεάν λογαριασμό στον ιστότοπο."
"Register","Εγγραφή"
"Enter your company details and confirm them with a verification transfer.","Εισαγάγετε τα στοιχεία της εταιρείας σας και επιβεβαιώστε τα με μια μεταφορά επαλήθευσης."
"Set up payments in your store.","Ρυθμίστε τις πληρωμές στο κατάστημά σας."
"about implementing payments in your store.","σχετικά με την εφαρμογή πληρωμών στο κατάστημά σας."
"Fee only 1,19% + 0,25 zł.","Προμήθεια μόνο 1,19% + 0,25 PLN."
"Prepare store regulations 10% off.","Προετοιμάστε τους κανονισμούς του καταστήματος με έκπτωση 10%."
"Display the channel as a separate payment method. Payment card, Google Pay, Apple Pay, BLIK and installments channels must always be separated.","Εμφανίστε το κανάλι ως ξεχωριστή μέθοδο πληρωμής. Τα κανάλια πληρωμής με κάρτα, Google Pay, Apple Pay, BLIK και δόσεις πρέπει πάντα να είναι ξεχωριστά."
"Installments and payment card channels have a static channel name.","Τα κανάλια δόσεων και πληρωμής με κάρτα έχουν στατικό όνομα καναλιού."
"You will be redirected to the page of the selected bank.","Θα μεταφερθείτε στη σελίδα της επιλεγμένης τράπεζας."
"Disable payment continuation link when transaction expires","Απενεργοποίηση συνδέσμου συνέχισης πληρωμής κατά τη λήξη της συναλλαγής"
"Link available in order confirmation e-mail and in order detail in customer account will be expired after reaching Transaction Life Hours set above.","Ο σύνδεσμος που διατίθεται στο e-mail επιβεβαίωσης παραγγελίας και στις λεπτομέρειες παραγγελίας στον λογαριασμό πελάτη θα λήξει μετά την επίτευξη της παραπάνω καθορισμένης διάρκειας ισχύος της πληρωμής."
"Invalid hash for order","Μη έγκυρος hash για την παραγγελία"
"Transaction is expired. Place order again.","Η συναλλαγή έχει λήξει. Υποβάλετε ξανά την παραγγελία."
"An error occurred while generating the transaction.","Παρουσιάστηκε σφάλμα κατά τη δημιουργία της συναλλαγής."
"It allows you to check the module without paying for the order (no order payments are charged in test mode).","Σας επιτρέπει να ελέγξετε τη μονάδα χωρίς να πληρώσετε για την παραγγελία (στη δοκιμαστική λειτουργία δεν χρεώνονται πληρωμές για την παραγγελία)."
"Partner's website ID and Shared key are different for production and testing environment.","Το αναγνωριστικό του ιστότοπου του συνεργάτη και το κοινό κλειδί είναι διαφορετικά για το περιβάλλον παραγωγής και δοκιμών."
"To get the data for the test environment,","Για να λάβετε τα δεδομένα για το περιβάλλον δοκιμών,"
"contact us","επικοινωνήστε μαζί μας"
"Spingo","Spingo"
"Deferred payment for businesses","Αναβαλλόμενη πληρωμή για επιχειρήσεις"
"Enter BLIK code","Εισαγάγετε τον κωδικό BLIK"
"If your computer doesn't come preloaded with a TouchID reader, you'll authorize payments with your iPhone or Apple Watch, as long as they're logged into the same AppleID account as your computer.","Εάν ο υπολογιστής σας δεν είναι προεγκατεστημένος με έναν αναγνώστη TouchID, θα εξουσιοδοτήσετε τις πληρωμές με το iPhone ή το Apple Watch σας, εφόσον είναι συνδεδεμένα στον ίδιο λογαριασμό AppleID με τον υπολογιστή σας."
"More information about payment","Περισσότερες πληροφορίες σχετικά με την πληρωμή"
"Apple Pay in the browser.","Apple Pay στο πρόγραμμα περιήγησης."
"Activation","Ενεργοποίηση"
"You choose the BLIK Płacę Później option, enter your BLIK code and we offer you up to a 4 000 zł limit on your purchases.","Επιλέγετε την επιλογή BLIK Πληρώστε Αργότερα, εισάγετε τον κωδικό BLIK και σας προσφέρουμε όριο έως 4.000 PLN στις αγορές σας."
"Purchases","Αγορές"
"You buy products that you do not pay for at the time of purchase. You have time to check that everything suits you.","Αγοράζετε προϊόντα για τα οποία δεν πληρώνετε κατά τη στιγμή της αγοράς. Έχετε χρόνο να ελέγξετε ότι όλα σας ταιριάζουν."
"After each purchase","Μετά από κάθε αγορά"
"You pay within 30 days at no extra cost. You can also return your purchase within the period provided by the shop.","Πληρώνετε εντός 30 ημερών χωρίς επιπλέον κόστος. Μπορείτε επίσης να επιστρέψετε την αγορά σας εντός της περιόδου που προβλέπεται από το κατάστημα."
"Representative example","Αντιπροσωπευτικό παράδειγμα"
"Expand","Ανάπτυξη"
"Start transaction with phone number","Έναρξη συναλλαγής με αριθμό τηλεφώνου"
"Requires configuration on the Autopay side. ENABLE ONLY AT THE REQUEST OF THE SUPPORT TEAM.","Απαιτεί διαμόρφωση από την πλευρά της Autopay. ΕΝΕΡΓΟΠΟΙΗΣΤΕ ΜΟΝΟ ΚΑΤΟΠΙΝ ΑΙΤΗΜΑΤΟΣ ΤΗΣ ΟΜΑΔΑΣ ΥΠΟΣΤΗΡΙΞΗΣ."
"Asynchronous process ITN","Ασύγχρονη διαδικασία ITN"
"This setting enables asynchronous processing of ITN notifications sent by the Autopay system after a transaction is completed. Enabling this option means that ITN notifications will be processed in the background, which can be useful in scenarios with higher loads or specific requirements related to handling notifications.<br><br><strong>Note:</strong> This option should only be selected by individuals who fully understand how asynchronous ITN processing works and the potential implications for the store’s operation. Incorrect configuration of this setting may lead to issues with transaction handling.<br>More information in <a href=""https://developers.autopay.pl/online/wtyczki/magento-2"" target=""_blank"">module documentation</a>.","Αυτή η ρύθμιση επιτρέπει την ασύγχρονη επεξεργασία των ειδοποιήσεων ITN που αποστέλλονται από το σύστημα Autopay μετά την ολοκλήρωση μιας συναλλαγής. Η ενεργοποίηση αυτής της επιλογής σημαίνει ότι οι ειδοποιήσεις ITN θα υποβάλλονται σε επεξεργασία στο παρασκήνιο, κάτι που μπορεί να είναι χρήσιμο σε σενάρια με υψηλότερους φόρτους ή ειδικές απαιτήσεις που σχετίζονται με το χειρισμό ειδοποιήσεων.<br><br><strong>Σημείωση:</strong> Αυτή η επιλογή θα πρέπει να επιλέγεται μόνο από άτομα που κατανοούν πλήρως πώς λειτουργεί η ασύγχρονη επεξεργασία ITN και τις πιθανές επιπτώσεις στη λειτουργία του καταστήματος. Η λανθασμένη διαμόρφωση αυτής της ρύθμισης μπορεί να οδηγήσει σε προβλήματα με το χειρισμό συναλλαγών.<br>Περισσότερες πληροφορίες στην <a href=""https://developers.autopay.pl/online/wtyczki/magento-2"" target=""_blank"">τεκμηρίωση της μονάδας</a>."
"Refund requested. Message ID: ""%1""","Αίτημα επιστροφής χρημάτων. Αναγνωριστικό μηνύματος: ""%1"""
"Order not found","Η παραγγελία δεν βρέθηκε"
"Refund error","Σφάλμα επιστροφής χρημάτων"
"Error code: %1 (%2)","Κωδικός σφάλματος: %1 (%2)"
"Refund failed. Try again or contact Autopay technical support. (Order: %1, Message ID: %2)","Η επιστροφή χρημάτων απέτυχε. Δοκιμάστε ξανά ή επικοινωνήστε με την τεχνική υποστήριξη της Autopay. (Παραγγελία: %1, Αναγνωριστικό μηνύματος: %2)"
"Gateway Short Description","Σύντομη περιγραφή πύλης"
"Use Base Currency for Transactions","Χρήση βασικού νομίσματος για συναλλαγές"
"Choose whether to use order currency or base currency for transactions.","Επιλέξτε εάν θα χρησιμοποιήσετε το νόμισμα παραγγελίας ή το βασικό νόμισμα για τις συναλλαγές."
