"Gateways","Zahlungskanäle"
"Disabled gateways notification Template","Vorlage für Benachrichtigungen über deaktivierte Kanäle"
"Title Automatic Gateway","Name der automatischen Zahlung"
"Iframe Payment","Zahlung im iFrame"
"Google Pay merchant ID","Google Pay-Händler-ID"
"Autopay acceptor ID","Autopay-Akzeptanten-ID"
"Service partner ID","Service-ID"
"Configuration key (hash)","Konfigurationsschlüssel (Hash)"
"PLN configuration","PLN-Konfiguration"
"EUR configuration","EUR-Konfiguration"
"GBP configuration","GBP-Konfiguration"
"USD configuration","USD-Konfiguration"
"CZK configuration","CZK-Konfiguration"
"RON configuration","RON-Konfiguration"
"HUF configuration","HUF-Konfiguration"
"BGN configuration","BGN-Konfiguration"
"UAH configuration","UAH-Konfiguration"
"ID","ID"
"Currency","Währung"
"Description","Beschreibung"
"Type","Typ"
"Logo URL","Logo-URL"
"Logo Path","Logo-Pfad"
"Direct Payment","Direktzahlung"
"Used only for Google Pay.","Nur für Google Pay verwendet."
"Orders with this statuses won't have an automatic status change.","Bestellungen mit diesem Status haben keine automatische Statusänderung."
"Payment without redirecting to Autopay gateway","Zahlung ohne Weiterleitung zum Autopay-Gateway"
"Payment without redirecting to Autopay gateway. In order to activate, <a href=""https://developers.google.com/pay/api/web/guides/test-and-deploy/integration-checklist#request-production-access"" target=""_blank"">contact Google for <i>merchant ID</i></a> and fill field below and acceptor ID for specific currencies.","Zahlung ohne Weiterleitung zum Autopay-Gateway. Um zu aktivieren, <a href=""https://developers.google.com/pay/api/web/guides/test-and-deploy/integration-checklist#request-production-access"" target=""_blank"">bitten Sie Google um eine <i>Händler-ID</i></a> und füllen Sie das folgende Feld sowie die Autopay-Akzeptanten-ID für die jeweiligen Währungen aus."
"Stored payment cards","Gespeicherte Zahlungskarten"
"Are you sure you want to delete this card: ","Sind Sie sicher, dass Sie diese Karte löschen möchten: "
"Payment card was successfully removed.","Die Zahlungskarte wurde erfolgreich entfernt."
"Wrong request.","Fehlerhafte Anfrage."
"Wrong card index.","Falscher Kartenindex."
"Deletion failure. Please try again.","Fehler beim Löschen. Bitte versuchen Sie es erneut."
"You have no stored payment cards.","Sie haben keine gespeicherten Karten."
"Autopay Agreement","Zustimmung zu automatischen Zahlungen"
"Show all","Alle anzeigen"
"Collapse","Einklappen"
"Collapsible gateway list","Einklappbare Kanalliste"
"Payment Channel","Zahlungskanal"
"Show waiting page before redirect","Warteseite vor der Weiterleitung anzeigen"
"Seconds to wait before redirect","Sekunden Wartezeit vor der Weiterleitung"
"How many second wait on intermediate page, before redirect to Autopay payment.","Wie viele Sekunden auf der Zwischenseite gewartet werden soll, bevor zur Autopay-Zahlung weitergeleitet wird."
"Show manual Autopay refund in order details","Manuelle Autopay-Rückerstattung in den Bestelldetails anzeigen"
"Show payment gateways in store","Zahlungskanäle im Shop anzeigen"
"Yes (whitelabel)","Ja (Whitelabel)"
"No (redirect to paywall)","Nein (Weiterleitung zur Paywall)"
"You have to select payment card.","Sie müssen eine Zahlungskarte auswählen."
"You have to agree.","Sie müssen zustimmen."
"Add new card","Neue Karte hinzufügen"
"Request timed out. Please try again or use a different payment method.","Zeitüberschreitung der Anfrage. Bitte versuchen Sie es erneut oder verwenden Sie eine andere Zahlungsmethode."
"The BLIK code has expired. Try again.","Der BLIK-Code ist abgelaufen. Versuchen Sie es erneut."
"Invalid BLIK code.","Ungültiger BLIK-Code."
"Waiting for the confirmation of the transaction.","Warten auf Bestätigung der Transaktion."
"Confirm BLIK transaction","BLIK-Transaktion bestätigen"
"Confirm the payment in your bank's app.","Bestätigen Sie die Zahlung in der App Ihrer Bank."
"-- Do not change status --","-- Status nicht ändern --"
"Link to continue payment","Link zur Fortsetzung der Zahlung"
"Click here to continue payment","Klicken Sie hier, um die Zahlung fortzusetzen"
"Quick payment","Schnelle Zahlung"
"Internet transfer","Online-Überweisung"
"Internet transfer, BLIK, payment card, Google Pay, Apple Pay","Online-Überweisung, BLIK, Zahlungskarte, Google Pay, Apple Pay"
"Anonymize IP","IP anonymisieren"
"To create a new secret, navigate in the Google Analytics UI - Admin > Data Streams > choose your stream > Measurement Protocol > Create","Um einen neuen Secret zu erstellen, gehen Sie zu Google Analytics - Verwaltung > Datenstreams > wählen Sie einen Stream > Measurement Protocol API Secrets > Erstellen"
"Minimum payment amount","Mindestzahlungsbetrag"
"Maximum payment amount","Maximaler Zahlungsbetrag"
"Pay later","Später bezahlen"
"Buy now and pay within 30 days. %1","Jetzt kaufen und innerhalb von 30 Tagen bezahlen. %1"
"Learn more","Mehr erfahren"
"At the top of the page","Oben auf der Seite"
"Under the navigation","Unter der Navigation"
"On the product list","In der Produktliste"
"On the product page under the buttons","Auf der Produktseite unter den Schaltflächen"
"In the shopping cart under the products","Im Warenkorb unter den Produkten"
"Why promote?","Warum bewerben?"
"More sales","Mehr Umsatz"
"Fewer abandoned shopping carts","Weniger abgebrochene Warenkörbe"
"More customers","Mehr Kunden"
"Customers are more likely to decide to buy products, even at a higher price, if they can pay later or spread the repayment in installments.","Kunden entscheiden sich eher für den Kauf von Produkten, auch zu einem höheren Preis, wenn sie später bezahlen oder die Rückzahlung in Raten aufteilen können."
"PAY LATER","SPÄTER BEZAHLEN"
"Buy now and pay within 30 days","Jetzt kaufen und innerhalb von 30 Tagen bezahlen"
"INSTALLMENTS","RATEN"
"Up to 48 installments","Bis zu 48 Raten"
"TAILORED INSTALLMENTS","MASSGESCHNEIDERTE RATEN"
"Buy on tailored installments","In maßgeschneiderten Raten kaufen"
"Autopay Online Payment","Autopay Online-Zahlung"
"How to get started?","Wie fange ich an?"
"Create a free account on the site.","Erstellen Sie ein kostenloses Konto auf der Website."
"Register","Registrieren"
"Enter your company details and confirm them with a verification transfer.","Geben Sie Ihre Firmendaten ein und bestätigen Sie diese mit einer Verifizierungsüberweisung."
"Set up payments in your store.","Richten Sie Zahlungen in Ihrem Geschäft ein."
"about implementing payments in your store.","über die Implementierung von Zahlungen in Ihrem Geschäft."
"Fee only 1,19% + 0,25 zł.","Gebühr nur 1,19 % + 0,25 PLN."
"Prepare store regulations 10% off.","Bereiten Sie die Geschäftsbedingungen 10 % günstiger vor."
"Display the channel as a separate payment method. Payment card, Google Pay, Apple Pay, BLIK and installments channels must always be separated.","Zeigen Sie den Kanal als separate Zahlungsmethode an. Zahlungskarten-, Google Pay-, Apple Pay-, BLIK- und Ratenkanäle müssen immer getrennt sein."
"Installments and payment card channels have a static channel name.","Raten- und Zahlungskartenkanäle haben einen statischen Kanalnamen."
"You will be redirected to the page of the selected bank.","Sie werden auf die Seite der ausgewählten Bank weitergeleitet."
"Disable payment continuation link when transaction expires","Deaktivieren Sie den Link zur Fortsetzung der Zahlung, wenn die Transaktion abläuft"
"Link available in order confirmation e-mail and in order detail in customer account will be expired after reaching Transaction Life Hours set above.","Der in der Bestellbestätigungs-E-Mail und in den Bestelldetails im Kundenkonto verfügbare Link läuft nach Erreichen der oben eingestellten Gültigkeitsdauer der Zahlung ab."
"Invalid hash for order","Ungültiger Hash für die Bestellung"
"Transaction is expired. Place order again.","Die Transaktion ist abgelaufen. Bitte bestellen Sie erneut."
"An error occurred while generating the transaction.","Beim Erstellen der Transaktion ist ein Fehler aufgetreten."
"It allows you to check the module without paying for the order (no order payments are charged in test mode).","Es ermöglicht Ihnen, das Modul zu überprüfen, ohne für die Bestellung zu bezahlen (im Testmodus werden keine Zahlungen für die Bestellung berechnet)."
"Partner's website ID and Shared key are different for production and testing environment.","Die Website-ID des Partners und der gemeinsame Schlüssel sind für die Produktions- und Testumgebung unterschiedlich."
"To get the data for the test environment,","Um die Daten für die Testumgebung zu erhalten,"
"contact us","kontaktieren Sie uns"
"Spingo","Spingo"
"Deferred payment for businesses","Aufgeschobene Zahlung für Unternehmen"
"Enter BLIK code","Geben Sie den BLIK-Code ein"
"If your computer doesn't come preloaded with a TouchID reader, you'll authorize payments with your iPhone or Apple Watch, as long as they're logged into the same AppleID account as your computer.","Wenn Ihr Computer nicht über einen vorinstallierten TouchID-Leser verfügt, autorisieren Sie Zahlungen mit Ihrem iPhone oder Ihrer Apple Watch, sofern diese mit demselben AppleID-Konto wie Ihr Computer angemeldet sind."
"More information about payment","Weitere Informationen zur Zahlung"
"Apple Pay in the browser.","Apple Pay im Browser."
"Activation","Aktivierung"
"You choose the BLIK Płacę Później option, enter your BLIK code and we offer you up to a 4 000 zł limit on your purchases.","Sie wählen die Option BLIK Später bezahlen, geben Ihren BLIK-Code ein und wir bieten Ihnen ein Limit von bis zu 4.000 PLN für Ihre Einkäufe."
"Purchases","Einkäufe"
"You buy products that you do not pay for at the time of purchase. You have time to check that everything suits you.","Sie kaufen Produkte, für die Sie zum Zeitpunkt des Kaufs nicht bezahlen. Sie haben Zeit zu prüfen, ob alles passt."
"After each purchase","Nach jedem Kauf"
"You pay within 30 days at no extra cost. You can also return your purchase within the period provided by the shop.","Sie zahlen innerhalb von 30 Tagen ohne zusätzliche Kosten. Sie können Ihren Kauf auch innerhalb der vom Geschäft vorgesehenen Frist zurückgeben."
"Representative example","Repräsentatives Beispiel"
"Expand","Erweitern"
"Start transaction with phone number","Transaktion mit Telefonnummer starten"
"Requires configuration on the Autopay side. ENABLE ONLY AT THE REQUEST OF THE SUPPORT TEAM.","Erfordert eine Konfiguration auf der Autopay-Seite. NUR AUF ANFRAGE DES SUPPORT-TEAMS AKTIVIEREN."
"Asynchronous process ITN","Asynchroner ITN-Prozess"
"This setting enables asynchronous processing of ITN notifications sent by the Autopay system after a transaction is completed. Enabling this option means that ITN notifications will be processed in the background, which can be useful in scenarios with higher loads or specific requirements related to handling notifications.<br><br><strong>Note:</strong> This option should only be selected by individuals who fully understand how asynchronous ITN processing works and the potential implications for the store’s operation. Incorrect configuration of this setting may lead to issues with transaction handling.<br>More information in <a href=""https://developers.autopay.pl/online/wtyczki/magento-2"" target=""_blank"">module documentation</a>.","Diese Einstellung ermöglicht die asynchrone Verarbeitung von ITN-Benachrichtigungen, die vom Autopay-System nach Abschluss einer Transaktion gesendet werden. Die Aktivierung dieser Option bedeutet, dass ITN-Benachrichtigungen im Hintergrund verarbeitet werden, was in Szenarien mit höherer Auslastung oder spezifischen Anforderungen an die Verarbeitung von Benachrichtigungen nützlich sein kann.<br><br><strong>Hinweis:</strong> Diese Option sollte nur von Personen ausgewählt werden, die vollständig verstehen, wie die asynchrone ITN-Verarbeitung funktioniert und welche potenziellen Auswirkungen dies auf den Betrieb des Geschäfts haben kann. Eine falsche Konfiguration dieser Einstellung kann zu Problemen bei der Transaktionsabwicklung führen.<br>Weitere Informationen in der <a href=""https://developers.autopay.pl/online/wtyczki/magento-2"" target=""_blank"">Moduldokumentation</a>."
"Refund requested. Message ID: ""%1""","Rückerstattung beantragt. Nachrichten-ID: ""%1"""
"Order not found","Bestellung nicht gefunden"
"Refund error","Rückerstattungsfehler"
"Error code: %1 (%2)","Fehlercode: %1 (%2)"
"Refund failed. Try again or contact Autopay technical support. (Order: %1, Message ID: %2)","Rückerstattung fehlgeschlagen. Versuchen Sie es erneut oder wenden Sie sich an den technischen Support von Autopay. (Bestellung: %1, Nachrichten-ID: %2)"
"Gateway Short Description","Kurzbeschreibung des Gateways"
"Use Base Currency for Transactions","Basiswährung für Transaktionen verwenden"
"Choose whether to use order currency or base currency for transactions.","Wählen Sie, ob Sie die Bestellwährung oder die Basiswährung für Transaktionen verwenden möchten."
"Widget Payment","Widget Payment"
"Payment without redirecting to Autopay gateway (Widget).","Payment without redirecting to Autopay gateway (Widget)."
"I confirm that I completed the required form and contacted Autopay business support","I confirm that I completed the required form and contacted Autopay business support"
"Each merchant who wants to enable Autopay Widget must complete required documentation with a business account manager.","Each merchant who wants to enable Autopay Widget must complete required documentation with a business account manager."
"Only after this formal process should Widget Payment be enabled.","Only after this formal process should Widget Payment be enabled."
"After selecting ""Yes"", the Widget Payment option becomes available.","After selecting ""Yes"", the Widget Payment option becomes available."
